mais ser ter poder grande fazer outra sobre todos bem muito
nosso entre essa voce tempo sua vida mesmo novo falar estar
quando anos assim parte antes onde casa depois coisa toda
nada mulher sempre sera melhor nunca alguma quem cidade outros
pessoa forma momento apos fuga muro riso desejo galo regra
vista rosa causa agil iris limpa busto corte faixa rapido
casta perto sombra calor forno quase agua florir folha gota
joia brasa borda verde terra caixa cheio mes alem alma
alto amigo amor ante apos areia arte asia aspero aco
ai azul balde banho barba boca bola bolo bom bordo
bravo brilho cabelo cachorro cama canto carta caso certo
chuva cinto circo colhe corpo corte cresce crime cruel
cujo curto dado danca dente deseja dia diferente dificil
divertido dolar doze dura elmo embaixo estadio estudar exame
exato faca fala fazenda feio feira feixe fim filho
fino fogo fome forma fraco fundo gato gelo gordo
gota grau grupo guerra gume humano igreja ilusao irma
janela jogo jovem juiz lado lar largo laco lei
leve louco lua luz maquina mao maximo meio meio
mentira mesmo milho minimo mola morte mudo mundo nascimento
nave navio novo oleo onda orelha ouvido pai pais
par pao parque pe pelo perto peixe pena pobre
ponto pouco prato prego primo puro quarto queijo quente
